date,title,categorie,prix,availability,rating
2024-10-20,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29,In,Five
2024-10-20,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,£16.28,In,One
2024-10-20,This One Summer,Sequential Art,£19.49,In,Four
2024-10-20,The Nameless City (The Nameless City #1),Sequential Art,£38.16,In,Four
2024-10-20,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,£51.04,In,Two
2024-10-20,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,£50.40,In,Three
2024-10-20,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,£13.61,In,Five
2024-10-20,"Pop Gun War, Volume 1: Gift",Sequential Art,£18.97,In,One
2024-10-20,Patience,Sequential Art,£10.16,In,Three
2024-10-20,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,£15.44,In,Four
2024-10-20,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,£48.41,In,One
2024-10-20,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,£46.91,In,Two
2024-10-20,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,£45.61,In,Three
2024-10-20,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,£19.92,In,Two
2024-10-20,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,£29.17,In,Two
2024-10-20,I am a Hero Omnibus Volume 1,Sequential Art,£54.63,In,Three
2024-10-20,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,£22.11,In,Two
2024-10-20,Danganronpa Volume 1,Sequential Art,£51.99,In,Four
2024-10-20,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,£36.72,In,Four
2024-10-20,Camp Midnight,Sequential Art,£17.08,In,Four
2024-10-20,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,£49.05,In,Three
2024-10-20,"Eat Fat, Get Thin",Health,£54.07,In,Two
2024-10-20,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Health,£49.71,In,Five
2024-10-20,The Art and Science of Low Carbohydrate Living,Health,£52.98,In,Five
2024-10-20,Amid the Chaos,Cultural,£36.58,In,One
2024-10-20,It's Only the Himalayas,Travel,£45.17,In,Two
2024-10-20,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,£49.43,In,Four
2024-10-20,Dark Notes,Erotica,£19.19,In,Five
2024-10-20,Suzie Snowflake: One beautiful flake (a self-esteem story),Novels,£54.81,In,Five
2024-10-20,The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,£10.97,In,One
2024-10-20,See America: A Celebration of Our National Parks & Treasured Sites,Travel,£48.87,In,Three
2024-10-20,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,£36.94,In,Two
2024-10-20,Under the Tuscan Sun,Travel,£37.33,In,Three
2024-10-20,A Summer In Europe,Travel,£44.34,In,Two
2024-10-20,The Great Railway Bazaar,Travel,£30.54,In,One
2024-10-20,A Year in Provence (Provence #1),Travel,£56.88,In,Four
2024-10-20,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,£23.21,In,One
2024-10-20,Neither Here nor There: Travels in Europe,Travel,£38.95,In,Three
2024-10-20,"1,000 Places to See Before You Die",Travel,£26.08,In,Five
2024-10-20,Libertarianism for Beginners,Politics,£51.33,In,Two
2024-10-20,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,£52.65,In,Four
2024-10-20,Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,£56.86,In,One
2024-10-20,Logan Kade (Fallen Crest High #5.5),Academic,£13.12,In,Two
2024-10-20,Sharp Objects,Mystery,£47.82,In,Four
2024-10-20,"In a Dark, Dark Wood",Mystery,£19.63,In,One
2024-10-20,The Past Never Ends,Mystery,£56.50,In,Four
2024-10-20,A Murder in Time,Mystery,£16.64,In,One
2024-10-20,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,£44.10,In,Four
2024-10-20,The Last Mile (Amos Decker #2),Mystery,£54.21,In,Two
2024-10-20,That Darkness (Gardiner and Renner #1),Mystery,£13.92,In,One
2024-10-20,Tastes Like Fear (DI Marnie Rome #3),Mystery,£10.69,In,One
2024-10-20,A Time of Torment (Charlie Parker #14),Mystery,£48.35,In,Five
2024-10-20,A Study in Scarlet (Sherlock Holmes #1),Mystery,£16.73,In,Two
2024-10-20,Poisonous (Max Revere Novels #3),Mystery,£26.80,In,Three
2024-10-20,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,£54.36,In,Four
2024-10-20,Most Wanted,Mystery,£35.28,In,Three
2024-10-20,Hide Away (Eve Duncan #20),Mystery,£11.84,In,One
2024-10-20,Boar Island (Anna Pigeon #19),Mystery,£59.48,In,Three
2024-10-20,The Widow,Mystery,£27.26,In,Two
2024-10-20,Playing with Fire,Mystery,£13.71,In,Three
2024-10-20,What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,£25.37,In,Five
2024-10-20,Silence in the Dark (Logan Point #4),Suspense,£58.33,In,Three
2024-10-20,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,£52.30,In,Five
2024-10-20,Delivering the Truth (Quaker Midwife Mystery #1),Mystery,£20.89,In,Four
2024-10-20,(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,£54.00,In,Five
2024-10-20,Crazy Love: Overwhelmed by a Relentless God,Christian,£47.72,In,Two
2024-10-20,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Christian,£25.77,In,One
2024-10-20,Tipping the Velvet,Historical Fiction,£53.74,In,One
2024-10-20,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,£29.69,In,Three
2024-10-20,A Flight of Arrows (The Pathfinders #2),Historical Fiction,£55.53,In,Five
2024-10-20,The House by the Lake,Historical Fiction,£36.95,In,One
2024-10-20,Mrs. Houdini,Historical Fiction,£30.25,In,Five
2024-10-20,The Marriage of Opposites,Historical Fiction,£28.08,In,Four
2024-10-20,All the Light We Cannot See,Historical,£29.87,In,Five
2024-10-20,The Girl You Left Behind (The Girl You Left Behind #1),Historical,£15.79,In,One
2024-10-20,The Grownup,Short Stories,£35.88,In,One
2024-10-20,Glory over Everything: Beyond The Kitchen House,Historical Fiction,£45.84,In,Three
2024-10-20,"Love, Lies and Spies",Historical Fiction,£20.55,In,Two
2024-10-20,A Paris Apartment,Historical Fiction,£39.01,In,Four
2024-10-20,Lilac Girls,Historical Fiction,£17.28,In,Two
2024-10-20,The Constant Princess (The Tudor Court #1),Historical Fiction,£16.62,In,Three
2024-10-20,The Invention of Wings,Historical Fiction,£37.34,In,One
2024-10-20,World Without End (The Pillars of the Earth #2),Historical Fiction,£32.97,In,Four
2024-10-20,The Passion of Dolssa,Historical Fiction,£28.32,In,Five
2024-10-20,Girl With a Pearl Earring,Historical Fiction,£26.77,In,One
2024-10-20,Voyager (Outlander #3),Historical Fiction,£21.07,In,Five
2024-10-20,The Red Tent,Historical Fiction,£35.66,In,Five
2024-10-20,The Last Painting of Sara de Vos,Historical Fiction,£55.55,In,Two
2024-10-20,The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,£49.53,In,One
2024-10-20,Girl in the Blue Coat,Historical Fiction,£46.83,In,Two
2024-10-20,Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,£46.35,In,One
2024-10-20,How to Be Miserable: 40 Strategies You Already Use,Self Help,£46.03,In,One
2024-10-20,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Self Help,£52.15,In,Three
2024-10-20,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Self Help,£12.08,In,Three
2024-10-20,How to Stop Worrying and Start Living,Self Help,£46.49,In,Five
2024-10-20,The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,£17.66,In,Five
2024-10-20,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,£32.24,In,Five
2024-10-20,Chasing Heaven: What Dying Taught Me About Living,Spirituality,£37.80,In,Two
2024-10-20,If I Gave You God's Phone Number....: Searching for Spirituality in America,Spirituality,£20.91,In,One
2024-10-20,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,Spirituality,£46.33,In,Two
2024-10-20,A New Earth: Awakening to Your Life's Purpose,Spirituality,£55.65,In,Five
2024-10-20,When We Collided,Contemporary,£31.77,In,One
2024-10-20,Someone Like You (The Harrisons #2),Contemporary,£52.79,In,Five
2024-10-20,We Are All Completely Beside Ourselves,Contemporary,£24.04,In,One
2024-10-20,In Her Wake,Thriller,£12.84,In,One
2024-10-20,The Elephant Tree,Thriller,£23.82,In,Five
2024-10-20,Behind Closed Doors,Thriller,£52.22,In,Four
2024-10-20,You (You #1),Thriller,£43.61,In,Five
2024-10-20,The Guilty (Will Robie #4),Thriller,£13.82,In,Two
2024-10-20,The 14th Colony (Cotton Malone #11),Thriller,£39.24,In,One
2024-10-20,Give It Back,Thriller,£18.32,In,Two
2024-10-20,Killing Floor (Jack Reacher #1),Thriller,£31.49,In,Four
2024-10-20,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Thriller,£59.71,In,Three
2024-10-20,Far From True (Promise Falls Trilogy #2),Thriller,£34.93,In,Two
2024-10-20,The Travelers,Thriller,£15.77,In,One
2024-10-20,Louisa: The Extraordinary Life of Mrs. Adams,Biography,£16.85,In,Two
2024-10-20,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Biography,£21.15,In,Two
2024-10-20,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,Biography,£39.55,In,One
2024-10-20,Benjamin Franklin: An American Life,Biography,£48.19,In,Three
2024-10-20,The Rise of Theodore Roosevelt (Theodore Roosevelt #1),Biography,£42.57,In,Three
2024-10-20,The Dirty Little Secrets of Getting Your Dream Job,Business,£33.34,In,Four
2024-10-20,The Third Wave: An Entrepreneur’s Vision of the Future,Business,£12.61,In,Five
2024-10-20,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,£27.55,In,Three
2024-10-20,Shoe Dog: A Memoir by the Creator of NIKE,Business,£23.99,In,Two
2024-10-20,Made to Stick: Why Some Ideas Survive and Others Die,Business,£38.85,In,Five
2024-10-20,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,£43.14,In,One
2024-10-20,The Art of Startup Fundraising,Business,£21.00,In,Three
2024-10-20,Born for This: How to Find the Work You Were Meant to Do,Business,£21.59,In,Five
2024-10-20,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Business,£36.91,In,One
2024-10-20,"Rich Dad, Poor Dad",Business,£51.74,In,One
2024-10-20,Redeeming Love,Christian Fiction,£20.47,In,Five
2024-10-20,Close to You,Christian Fiction,£49.46,In,Four
2024-10-20,Shadows of the Past (Logan Point #1),Christian Fiction,£39.67,In,Five
2024-10-20,Like Never Before (Walker Family #2),Christian Fiction,£28.77,In,Two
2024-10-20,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Business,£33.92,In,Three
2024-10-20,Rework,Business,£44.88,In,Two
2024-10-20,Counted With the Stars (Out from Egypt #1),Christian Fiction,£17.97,In,Five
2024-10-20,If I Run (If I Run #1),Christian Fiction,£49.97,In,Four
2024-10-20,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,£30.52,In,Three
2024-10-20,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,£56.41,In,One
2024-10-20,Sapiens: A Brief History of Humankind,History,£54.23,In,Five
2024-10-20,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,£25.52,In,One
2024-10-20,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,£19.73,In,One
2024-10-20,Security,Horror,£39.25,In,Two
2024-10-20,Follow You Home,Horror,£21.36,In,One
2024-10-20,The Loney,Horror,£23.40,In,One
2024-10-20,Pet Sematary,Horror,£10.56,In,Three
2024-10-20,Doctor Sleep (The Shining #2),Horror,£40.12,In,Two
2024-10-20,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,£37.92,In,Two
2024-10-20,The Shadow Hero (The Shadow Hero),Sequential Art,£33.14,In,One
2024-10-20,"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,£41.62,In,Four
2024-10-20,Batman: The Long Halloween (Batman),Sequential Art,£36.50,In,Two
2024-10-20,Batman: The Dark Knight Returns (Batman),Sequential Art,£15.38,In,Five
2024-10-20,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,£37.34,In,Four
2024-10-20,The Long Haul (Diary of a Wimpy Kid #9),Humor,£44.07,In,One
2024-10-20,Old School (Diary of a Wimpy Kid #10),Humor,£11.83,In,Five
2024-10-20,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,£25.98,In,Four
2024-10-20,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,£14.75,In,Five
2024-10-20,My Paris Kitchen: Recipes and Stories,Food and Drink,£33.37,In,Two
2024-10-20,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,£14.02,In,Four
2024-10-20,"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,£40.11,In,One
2024-10-20,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,£37.34,In,Five
2024-10-20,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,£37.60,In,Two
2024-10-20,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,£41.25,In,One
2024-10-20,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,£42.16,In,Three
2024-10-20,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,£28.77,In,Three
2024-10-20,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,£36.28,In,Two
2024-10-20,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,£59.64,In,One
2024-10-20,Zealot: The Life and Times of Jesus of Nazareth,History,£24.70,In,Three
2024-10-20,A Distant Mirror: The Calamitous 14th Century,History,£14.58,In,Three
2024-10-20,1491: New Revelations of the Americas Before Columbus,History,£21.80,In,Three
2024-10-20,Brilliant Beacons: A History of the American Lighthouse,History,£11.45,In,Three
2024-10-20,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",History,£44.48,In,Five
2024-10-20,Psycho: Sanitarium (Psycho #1.5),Horror,£36.97,In,Five
2024-10-20,Can You Keep a Secret? (Fear Street Relaunch #4),Horror,£48.64,In,One
2024-10-20,Red Dragon (Hannibal Lecter #1),Horror,£23.37,In,Three
2024-10-20,Dracula the Un-Dead,Horror,£35.63,In,Five
2024-10-20,Night Shift (Night Shift #1-20),Horror,£12.75,In,Four
2024-10-20,Needful Things,Horror,£47.51,In,Four
2024-10-20,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,£53.90,In,One
2024-10-20,Through the Woods,Sequential Art,£25.38,In,Two
2024-10-20,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,£11.89,In,Five
2024-10-20,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,£35.43,In,Four
2024-10-20,Robin War,Sequential Art,£47.82,In,Three
2024-10-20,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,£25.48,In,Two
2024-10-20,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,£38.39,In,Two
2024-10-20,Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,£51.51,In,Two
2024-10-20,Dress Your Family in Corduroy and Denim,Humor,£43.68,In,Three
2024-10-20,Toddlers Are A**holes: It's Not Your Fault,Humor,£25.55,In,One
2024-10-20,When You Are Engulfed in Flames,Humor,£30.89,In,Five
2024-10-20,Naked,Humor,£31.69,In,Three
2024-10-20,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Humor,£55.50,In,Five
2024-10-20,Holidays on Ice,Humor,£51.07,In,Two
2024-10-20,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,£19.55,In,One
2024-10-20,Barefoot Contessa Back to Basics,Food and Drink,£28.01,In,One
2024-10-20,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,£50.62,In,Five
2024-10-20,My Kitchen Year: 136 Recipes That Saved My Life,Food and Drink,£11.53,In,Two
2024-10-20,Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,£20.10,In,Five
2024-10-20,A Short History of Nearly Everything,History,£52.40,In,Five
2024-10-20,The Rise and Fall of the Third Reich: A History of Nazi Germany,History,£39.67,In,Two
2024-10-20,Catherine the Great: Portrait of a Woman,History,£58.55,In,Four
2024-10-20,The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,£42.91,In,Five
2024-10-20,The Hiding Place,History,£55.91,In,Four
2024-10-20,America's War for the Greater Middle East: A Military History,History,£51.22,In,Two
2024-10-20,The Guns of August,History,£14.54,In,Two
2024-10-20,Misery,Horror,£34.79,In,Two
2024-10-20,It,Horror,£25.01,In,Three
2024-10-20,'Salem's Lot,Horror,£49.56,In,Four
2024-10-20,The Stand,Horror,£57.86,In,Two
2024-10-20,The Girl with All the Gifts,Horror,£49.47,In,Three
2024-10-20,House of Leaves,Horror,£54.89,In,One
2024-10-20,El Deafo,Sequential Art,£57.62,In,Five
2024-10-20,Batman: Europa,Sequential Art,£32.01,In,Two
2024-10-20,Art Ops Vol. 1,Sequential Art,£48.80,In,Three
2024-10-20,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,£10.90,In,Two
2024-10-20,"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,£33.95,In,Four
2024-10-20,Roller Girl,Sequential Art,£14.10,In,Five
2024-10-20,Fifty Shades Freed (Fifty Shades #3),Adult Fiction,£15.36,In,Five
2024-10-20,Catastrophic Happiness: Finding Joy in Childhood's Messy Years,Parenting,£37.35,In,Two
2024-10-20,The Argonauts,Autobiography,£10.93,In,Two
2024-10-20,M Train,Autobiography,£27.18,In,One
2024-10-20,Lab Girl,Autobiography,£40.85,In,One
2024-10-20,Approval Junkie: Adventures in Caring Too Much,Autobiography,£58.81,In,Five
2024-10-20,Running with Scissors,Autobiography,£12.91,In,Four
2024-10-20,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,£38.77,In,One
2024-10-20,Cravings: Recipes for What You Want to Eat,Food and Drink,£20.50,In,Three
2024-10-20,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Food and Drink,£12.34,In,Four
2024-10-20,32 Yolks,Food and Drink,£53.63,In,Two
2024-10-20,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Food and Drink,£11.38,In,Five
2024-10-20,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",History,£43.70,In,Two
2024-10-20,Me Talk Pretty One Day,Autobiography,£57.60,In,Two
